pdf_id,text_id,source_url
aca1d358-1a64-4b5d-ba5c-39bb63fc508c,f6e0e9cb-8af9-4087-bace-84027d35b368,https://www.supremecourt.gov/DocketPDF/18/18-956/133566/20200219163737984_18-956%20Brief%20of%20Amici%20Curiae%20in%20Support%20of%20Respondent.pdf
8620bb8f-0645-48f6-ad4c-5f388734e299,5d9a6772-1fb0-4ca2-8c6d-541c9d1d40f5,https://www.supremecourt.gov/DocketPDF/18/18-956/133538/20200219155838307_18-956%20bsac%20Nine%20Professors%20and%20Scholars%20on%20Intellectual%20Property%20Law.pdf
660cf9f1-8d0c-4998-97f3-2b3960140c46,000a4dff-af24-4169-aaa0-580d7234a368,https://www.supremecourt.gov/DocketPDF/18/18-956/137903/20200311194254554_18-956 rb.pdf
9816ed41-50b4-4c77-9c30-6a63b4afd87a,c98aa63a-f3d5-443d-b9f0-f8ff3f07b394,https://www.supremecourt.gov/DocketPDF/21/21-869/208111/20220112160259213_41934%20pdf%20Abner.pdf
c59b99ee-3125-4a3e-bc5d-aef4fca3de81,080985a7-0ec3-4c6d-9b41-89e128ede473,https://www.supremecourt.gov/DocketPDF/21/21-869/207772/20220110122345284_41727%20pdf%20Tushnet.pdf
a024e06e-59d9-4022-820c-a9d0db2ade26,4b1fc758-04a9-4402-a157-ac4189de4b83,https://www.supremecourt.gov/DocketPDF/21/21-869/213328/20220204140247759_AWF%20v.%20Goldsmith%20-%20Brief%20in%20Opposition.pdf
d09053ee-e710-4d85-8dad-be5348b323e4,cc276cb0-a7a6-4e46-b026-471e7dce6704,https://www.supremecourt.gov/DocketPDF/21/21-869/228144/20220616190601481_42518%20pdf%20Dupree%20br.pdf
12a04264-c32f-4fa5-8810-97adbe91add9,9d4bbe65-045b-4750-ada1-d4cde0b58ad4,https://www.supremecourt.gov/DocketPDF/21/21-869/228259/20220617105307034_21-869_Amici%20Brief.pdf
e668961d-8f86-4a61-9af1-4a77fe6d811d,6384ee0a-6c49-435c-a3f3-d976b85ca1bc,https://www.supremecourt.gov/DocketPDF/21/21-869/228345/20220617150443086_42458%20pdf%20Gellis.pdf
29eb9c22-a872-4623-915e-290250398c8b,3220e3c7-b4c9-462f-99fd-dbc6a5ba9f1a,https://www.supremecourt.gov/DocketPDF/21/21-869/228277/20220617122852031_21-869tsacTheAuthorsGuildInc.pdf
2cd27198-732e-475c-85fd-138070cd49d8,b7e65fe9-4afa-49ce-9b4e-8edb33bd8796,https://www.supremecourt.gov/DocketPDF/21/21-869/228286/20220617124339929_21-869acMPA.pdf
9e052db6-31c1-42cc-ab5f-71bd41491606,7b873ec2-fd0c-4f20-83bb-75833da9204f,https://www.supremecourt.gov/DocketPDF/21/21-869/228304/20220617132803415_21-869_AuthorsAlliance_AmicusBrief.pdf
5cb1faa6-dad7-4a84-b383-764c49e6e6d4,afe10ed0-48b7-4e5a-9502-880c35ce3f66,https://www.supremecourt.gov/DocketPDF/21/21-869/228252/20220617095802802_21-869_Amici%20Brief.pdf
7d40368d-d891-493a-b183-14a66dc5b9c0,253fb0ea-b91d-4139-b165-c950cb02befb,https://www.supremecourt.gov/DocketPDF/21/21-869/228275/20220617122356031_21-869%20Brief.pdf
7d04dc5c-d8a1-4213-b571-b082b44c0c62,e78f4759-8010-433f-ab4d-1cfbf70dd477,https://www.supremecourt.gov/DocketPDF/21/21-869/228332/20220617142829138_21-869%20ac%20Copyright%20Alliance.pdf
